No,epoch,B,H,L,N
1,4000BC,131,138,89,49
2,4000BC,125,131,92,48
3,4000BC,131,132,99,50
4,4000BC,119,132,96,44
5,4000BC,136,143,100,54
6,4000BC,138,137,89,56
7,4000BC,139,130,108,48
8,4000BC,125,136,93,48
9,4000BC,131,134,102,51
10,4000BC,134,134,99,51
11,4000BC,129,138,95,50
12,4000BC,134,121,95,53
13,4000BC,126,129,109,51
14,4000BC,132,136,100,50
15,4000BC,141,140,100,51
16,4000BC,131,134,97,54
17,4000BC,135,137,103,50
18,4000BC,132,133,93,53
19,4000BC,139,136,96,50
20,4000BC,132,131,101,49
21,4000BC,126,133,102,51
22,4000BC,135,135,103,47
23,4000BC,134,124,93,53
24,4000BC,128,134,103,50
25,4000BC,130,130,104,49
26,4000BC,138,135,100,55
27,4000BC,128,132,93,53
28,4000BC,127,129,106,48
29,4000BC,131,136,114,54
30,4000BC,124,138,101,46
31,3300BC,124,138,101,48
32,3300BC,133,134,97,48
33,3300BC,138,134,98,45
34,3300BC,148,129,104,51
35,3300BC,126,124,95,45
36,3300BC,135,136,98,52
37,3300BC,132,145,100,54
38,3300BC,133,130,102,48
39,3300BC,131,134,96,50
40,3300BC,133,125,94,46
41,3300BC,133,136,103,53
42,3300BC,131,139,98,51
43,3300BC,131,136,99,56
44,3300BC,138,134,98,49
45,3300BC,130,136,104,53
46,3300BC,131,128,98,45
47,3300BC,138,129,107,53
48,3300BC,123,131,101,51
49,3300BC,130,129,105,47
50,3300BC,134,130,93,54
51,3300BC,137,136,106,49
52,3300BC,126,131,100,48
53,3300BC,135,136,97,52
54,3300BC,129,126,91,50
55,3300BC,134,139,101,49
56,3300BC,131,134,90,53
57,3300BC,132,130,104,50
58,3300BC,130,132,93,52
59,3300BC,135,132,98,54
60,3300BC,130,128,101,51
61,1850BC,137,141,96,52
62,1850BC,129,133,93,47
63,1850BC,132,138,87,48
64,1850BC,130,134,106,50
65,1850BC,134,134,96,45
66,1850BC,140,133,98,50
67,1850BC,138,138,95,47
68,1850BC,136,145,99,55
69,1850BC,136,131,92,46
70,1850BC,126,136,95,56
71,1850BC,137,129,100,53
72,1850BC,137,139,97,50
73,1850BC,136,126,101,50
74,1850BC,137,133,90,49
75,1850BC,129,142,104,47
76,1850BC,135,138,102,55
77,1850BC,129,135,92,50
78,1850BC,134,125,90,60
79,1850BC,138,134,96,51
80,1850BC,136,135,94,53
81,1850BC,132,130,91,52
82,1850BC,133,131,100,50
83,1850BC,138,137,94,51
84,1850BC,130,127,99,45
85,1850BC,136,133,91,49
86,1850BC,134,123,95,52
87,1850BC,136,137,101,54
88,1850BC,133,131,96,49
89,1850BC,138,133,100,55
90,1850BC,138,133,91,46
91,200BC,137,134,107,54
92,200BC,141,128,95,53
93,200BC,141,130,87,49
94,200BC,135,131,99,51
95,200BC,133,120,91,46
96,200BC,131,135,90,50
97,200BC,140,137,94,60
98,200BC,139,130,90,48
99,200BC,140,134,90,51
100,200BC,138,140,100,52
101,200BC,132,133,90,53
102,200BC,134,134,97,54
103,200BC,135,135,99,50
104,200BC,133,136,95,52
105,200BC,136,130,99,55
106,200BC,134,137,93,52
107,200BC,131,141,99,55
108,200BC,129,135,95,47
109,200BC,136,128,93,54
110,200BC,131,125,88,48
111,200BC,139,130,94,53
112,200BC,144,124,86,50
113,200BC,141,131,97,53
114,200BC,130,131,98,53
115,200BC,133,128,92,51
116,200BC,138,126,97,54
117,200BC,131,142,95,53
118,200BC,136,138,94,55
119,200BC,132,136,92,52
120,200BC,135,130,100,51
121,150AD,137,123,91,50
122,150AD,136,131,95,49
123,150AD,128,126,91,57
124,150AD,130,134,92,52
125,150AD,138,127,86,47
126,150AD,126,138,101,52
127,150AD,136,138,97,58
128,150AD,126,126,92,45
129,150AD,132,132,99,55
130,150AD,139,135,92,54
131,150AD,143,120,95,51
132,150AD,141,136,101,54
133,150AD,135,135,95,56
134,150AD,137,134,93,53
135,150AD,142,135,96,52
136,150AD,139,134,95,47
137,150AD,138,125,99,51
138,150AD,137,135,96,54
139,150AD,133,125,92,50
140,150AD,145,129,89,47
141,150AD,138,136,92,46
142,150AD,131,129,97,44
143,150AD,143,126,88,54
144,150AD,134,124,91,55
145,150AD,132,127,97,52
146,150AD,137,125,85,57
147,150AD,129,128,81,52
148,150AD,140,135,103,48
149,150AD,147,129,87,48
150,150AD,136,133,97,51